,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
275,KK1839,MONDE BUTTER COOKIES 90G,2,9500,19000,Laris
276,KK1701,SUPERSTAR SNAPS 28G,5,1500,7500,Sangat Laris
277,KK0569,BANGO KECAP MANIS REFILL (24205)  PCH 220mL,5,11000,55000,Sangat Laris
278,KK0901,ROYCO AYAM 100G,3,5000,15000,Laris
279,KK1101,GARAM SEGI TIGA 200G,6,1500,9000,Sangat Laris
280,KK0248,GARUDA KACANG KULIT  PCK 10x16g,6,1000,6000,Sangat Laris
281,KK0736,POP MIE KUAH PDS DWR,2,5500,11000,Laris
282,KK0533,KOPI JAHE SIDOMUNCUL,5,1500,7500,Sangat Laris
283,KK0245,KISPRAY VIOLET SCT 7mL,4,500,2000,Sangat Laris
284,KK0593,WIPOL LANTAI CLC 780mL,1,15000,15000,Kurang Laris
285,KK1248,SUSU ISAM STRAWBERRY,10,1500,15000,Sangat Laris
286,KK1150,AICE SEMANGKA,18,2000,36000,Sangat Laris
287,KK0231,BENDERA FF SKM COKLAT 40g,4,1500,6000,Sangat Laris
288,KK0366,R&W BAKING POWDER 15GR,3,1500,4500,Laris
289,KK1893,SANIA 1L,2,18000,36000,Laris
290,KK1162,AICE STRAWBERY CUP SUNDAE,6,4000,24000,Sangat Laris
291,KK1156,AICE MILK MELON,12,2500,30000,Sangat Laris
292,KK1565,HERS PROTEX MX WING 20,1,10000,10000,Kurang Laris
293,KK1050,MAZZONI BALADO EXTRA PDS 100G,1,5000,5000,Kurang Laris
294,KK1029,TIM TAM MAXI VANILLA 16G,4,1000,4000,Sangat Laris
295,KK1612,LAURIER SUPER MAXI 20',3,10500,31500,Laris
296,KK1066,DETTOL COOL 60G,3,3500,10500,Laris
297,KK0252,GERY CHOCOLATE WAFER SALUUT HAZELNUT PCK 6g,1,500,500,Kurang Laris
298,KK0357,LUWAK WHT KOFFIE ORIGINAL BTL 240/220mL ,2,5500,11000,Laris
299,KK0917,FANTA STROBERRI 250ML,2,3000,6000,Laris
300,KK1788,SEDAAP GORENG AYAM BAKAR LIMAU,13,3000,39000,Sangat Laris
301,KK1256,CHIKI BALLS CHEESE 10G,2,1000,2000,Laris
302,KK0495,GIV SBM UNGU PASION FLOWER&SWEET BERRY 76g,1,2500,2500,Kurang Laris
303,KK1151,AICE NANAS,7,2000,14000,Sangat Laris
304,KK0776,CLEVO SUSU STRW 115ML,5,2500,12500,Sangat Laris
305,KK1122,POP MIE MINI SOTO 35G,1,3000,3000,Kurang Laris
306,KK0585,LIFEBUOY SBM TS TOTAL 10 BAR 80g,1,3000,3000,Kurang Laris
307,KK0857,FRUIT TEA BTL BLCKCURRANT350ML,13,3500,45500,Sangat Laris
308,KK0430,LADAKU MERICA 4g,13,1000,13000,Sangat Laris
309,KK1820,DOWNY MYSTIQUE 10ML,4,1000,4000,Sangat Laris
310,KK1558,GERY SALUT MALKIS CHOCOLATE 110G,1,6000,6000,Kurang Laris
311,KK01020,MINYAK GORENG TAWON 800ML,10,16850,168500,Sangat Laris
312,KK0702,CHITATO BBQ 35G,2,5000,10000,Laris
313,KK1375,ULTRA MILK FULL CREAM 200ML,1,4500,4500,Kurang Laris
314,KK0120,NISSIN CRACKERS CRISPY PCK 225g,3,8000,24000,Laris
315,KK1867,REBO ORIGINAL 150 G,2,13000,26000,Laris
316,KK1765,MILK LIFE STRAWBERRY 125ML,2,2500,5000,Laris
317,KK0781,TANGO WAFER COKLAT 130G,1,5500,5500,Kurang Laris
318,KK1245,ANTANGIN JUNIOR,2,2000,4000,Laris
319,KK0662,SPRITE MINI 250ML,5,3000,15000,Sangat Laris
320,KK1316,ABC KACANG HIJAU 250ML,2,4000,8000,Laris
321,KK1834,WISKAS PCH 7+ TUNA 80G,1,7000,7000,Kurang Laris
322,KK0389,KAKI TIGA LARUTAN PENYEGAR LECI KLG 320mL,1,6500,6500,Kurang Laris
323,KK1472,HYDRO COCO 250ML,3,6000,18000,Laris
324,KK0348,MOMOGI SNACK STICK CHOCOLATE PCK 8/6g,10,500,5000,Sangat Laris
325,KK1492,GULA JAWA SEPRAPATAN 250G,3,3500,10500,Laris
326,KK0708,LIFIA PIA KACANG HIJAU,2,10000,20000,Laris
327,KK0431,DESAKU KETUMBAR  PCK 12x15g,1,1000,1000,Kurang Laris
328,KK0424,KOPIKAP CAPPUCCINO 165mL,93,1000,93000,Sangat Laris
329,KK1869,BENDERA FF UHT COKELAT 115ML,3,2500,7500,Laris
330,KK1650,NUTRIJELL COKLAT 20G,2,3000,6000,Laris
331,KK0090,NUTRISARI FLORIDA ORANGE SCT 12/14g,2,1500,3000,Laris
332,KK1800,CHITATO LITE RUMPUT LAUT 14G,9,2000,18000,Sangat Laris
333,KK0848,LEANET TIC TIC BALADO,4,500,2000,Sangat Laris
334,KK0745,OREO RED VELVET 123,2,8000,16000,Laris
335,KK1320,BAYCLIN REGULER 100ML,1,2500,2500,Kurang Laris
336,KK1808,ALE-ALE MULWA,22,1000,22000,Sangat Laris
337,KK1724,TEBS BOTOL 500ML,6,6000,36000,Sangat Laris
338,KK0574,LUX VELVET JASMINE 80GR,1,3500,3500,Kurang Laris
339,KK1199,VEGETA HERBAL,3,3000,9000,Laris
340,KK0030,MOTO MOBIL 25G,3,1000,3000,Laris
341,KK0923,TIC TIC RASA BAWANG 20G,15,2000,30000,Sangat Laris
342,KK0664,MILKU COKLAT 200ML,4,3000,12000,Sangat Laris
343,KK0704,DETTOL FRESH 105G,2,5500,11000,Laris
344,KK1253,MOMOGI TUTTI FRUTTI,5,500,2500,Sangat Laris
345,KK0596,ROYCO SAPI 9g,15,800,12000,Sangat Laris
346,KK1464,DESAKU BUBUK BALADO,1,2000,2000,Kurang Laris
347,KK0556,DJI SAM SOE  FILTER MAGNUM MILD BKS 16's,2,21000,42000,Laris
348,KK0747,OREO ORIGINAL 133,3,7000,21000,Laris
