Kode,Nama,Jumlah,Harga,Total
KK0302,NABATI RICHOCO WAFER CHOCOLATE PCK 50g,6,2000,12000
KK1462,BONCABE LV 15 2.5G,43,500,21500
KK1755,GULA JAWA SETENGAH,3,6500,19500
KK0600,SPR PELL REFILL LMN 111mL,2,2000,4000
KK1208,SO KLIN SOFTERGENT PURPLE LAVDR 520G,1,9500,9500
KK1643,MAMA LIME 230ML,3,4000,12000
KK0198,BEAR BRAND SUSU ENCER STERIL  KLG 189mL,5,11000,55000
KK0716,MERRIES S11,2,17000,34000
KK1761,MASKER ORLEE EARLOOP,6,1000,6000
KK1880,SOKLIN SOFT ROSY PINK 490G,2,9500,19000
KK0077,DOWNY SOFT FLORAL PINK SCT 11mL,16,500,8000
KK1871,SERUPUT KOPI SUSU SI MANIS AREN 200ML,2,3000,6000
KK0534,SUSU JAHE SIDOMUNCUL,13,1500,19500
KK1896,NISSIN RAMEN YAKISOBA RASA TAKOYAKI 104G,3,6500,19500
KK1751,GO CHOCOLATOS,6,500,3000
KK0872,FRUIT TEA APPLE 350ML,2,3500,7000
KK1163,AICE 2 COLOR STICK,14,2000,28000
KK0394,KOBE BON CABE LV 15,5,1000,5000
KK0254,CHOCOLATAOS DRINK,6,2000,12000
KK0406,ROMA ARDEN CHOCO SPLENDID,3,2000,6000
KK0018,INDOFOOD SAMBAL PEDAS BTL 135/140mL,2,5500,11000
KK0136,ABC SUSU,18,1500,27000
KK0206,INDOMILK SUSU CAIR STRAWBERRY BTL 190mL,2,4000,8000
KK1866,OISHI PANCHOS SP160GR,2,11000,22000
KK0100,MARLBORO LIGHT 20'S,1,31500,31500
KK1311,DANCOW FORTIGRO COKELAT 39G,6,3500,21000
KK1579,EMERON BLACK SHINE SCT,1,5000,5000
KK0340,DETTOL LASTING FRESH 100G,5,5500,27500
KK0559,SAMPOERNA MILD 16'S,35,24500,857500
KK0400,ROMA MALKIST ABON PCK 27g,2,1000,2000
KK0878,MASKER EARLOOP,1,1000,1000
KK1791,TEH JAWA CELUP 25S,2,5500,11000
KK1703,HATARI CHOCOLATE CREAM 200G,2,5000,10000
KK0396,ROMA BISCUIT (NEW) KELAPA PCK 300g,8,7500,60000
KK1068,FULLO 8G,6,500,3000
KK0751,MERRIES L8,9,16000,144000
KK0995,KEJU CAKE,3,2000,6000
KK1443,DK KACANG POLONG PEAS,1,1000,1000
KK0911,TOP  GULA AREN,43,1000,43000
